SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,AppVideoAccessDuration,url
4294967300,4294967298,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:26,ZONA17_LAMONGAN_DT,,NCM30100884,1.055,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
8589934596,8589934594,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:26,ZONA17_LAMONGAN_DT,,NCM30100884,1.18,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
12884901892,12884901890,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:23,ZONA17_LAMONGAN_DT,,NCM30100884,0.715,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
17179869188,17179869186,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:28,ZONA17_LAMONGAN_DT,,NCM30100884,1.102,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
107374182404,107374182402,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:26,ZONA17_LAMONGAN_DT,,NCM30100884,1.225,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
111669149700,111669149698,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:24,ZONA17_LAMONGAN_DT,,NCM30100884,0.74,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
115964116996,115964116994,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:23,ZONA17_LAMONGAN_DT,,NCM30100884,0.684,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
120259084292,120259084290,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:30,ZONA17_LAMONGAN_DT,,NCM30100884,1.46,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
210453397508,210453397506,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:26,ZONA17_LAMONGAN_DT,,NCM30100884,0.897,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
214748364804,214748364802,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:24,ZONA17_LAMONGAN_DT,,NCM30100884,0.931,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
219043332100,219043332098,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:26,ZONA17_LAMONGAN_DT,,NCM30100884,0.895,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
223338299396,223338299394,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:30,ZONA17_LAMONGAN_DT,,NCM30100884,1.162,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
313532612612,313532612610,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:09:26,ZONA17_LAMONGAN_DT,,NCM30100884,0.99,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
317827579908,317827579906,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:09:26,ZONA17_LAMONGAN_DT,,NCM30100884,1.242,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
322122547204,322122547202,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:09:26,ZONA17_LAMONGAN_DT,,NCM30100884,0.679,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
326417514500,326417514498,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:09:30,ZONA17_LAMONGAN_DT,,NCM30100884,1.002,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
433791696900,433791696898,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:49:37,ZONA17_LAMONGAN_DT,,NCM30100884,1.149,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
438086664196,438086664194,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:49:37,ZONA17_LAMONGAN_DT,,NCM30100884,,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
442381631492,442381631490,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:49:38,ZONA17_LAMONGAN_DT,,NCM30100884,1.303,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
446676598788,446676598786,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:49:35,ZONA17_LAMONGAN_DT,,NCM30100884,1.059,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1447403978756,1447403978754,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:53:24,ZONA17_LAMONGAN_DT,,NCM30100884,0.794,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1451698946052,1451698946050,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:53:24,ZONA17_LAMONGAN_DT,,NCM30100884,1.17,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1455993913348,1455993913346,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:53:28,ZONA17_LAMONGAN_DT,,NCM30100884,1.712,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1460288880644,1460288880642,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:53:24,ZONA17_LAMONGAN_DT,,NCM30100884,1.58,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1584842932228,1584842932226,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:30:35,ZONA17_LAMONGAN_DT,,NCM30100884,0.633,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1589137899524,1589137899522,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:30:35,ZONA17_LAMONGAN_DT,,NCM30100884,1.702,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1593432866820,1593432866818,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:30:37,ZONA17_LAMONGAN_DT,,NCM30100884,2.255,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1597727834116,1597727834114,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:30:35,ZONA17_LAMONGAN_DT,,NCM30100884,0.972,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1687922147332,1687922147330,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:59:33,ZONA17_LAMONGAN_DT,,NCM30100884,1.438,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1692217114628,1692217114626,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:59:32,ZONA17_LAMONGAN_DT,,NCM30100884,0.87,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1696512081924,1696512081922,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:59:33,ZONA17_LAMONGAN_DT,,NCM30100884,1.064,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1700807049220,1700807049218,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:59:30,ZONA17_LAMONGAN_DT,,NCM30100884,3.322,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1791001362436,1791001362434,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:32,ZONA17_LAMONGAN_DT,,NCM30100884,1.673,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1795296329732,1795296329730,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:31,ZONA17_LAMONGAN_DT,,NCM30100884,0.942,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1799591297028,1799591297026,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:32,ZONA17_LAMONGAN_DT,,NCM30100884,1.012,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1803886264324,1803886264322,Fren/Hepi,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:32,ZONA17_LAMONGAN_DT,,NCM30100884,0.885,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1859720839172,1859720839170,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:18,ZONA17_LAMONGAN_DT,,NCM30100884,0.712,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1864015806468,1864015806466,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:18,ZONA17_LAMONGAN_DT,,NCM30100884,0.778,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101)
1868310773764,1868310773762,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:18,ZONA17_LAMONGAN_DT,,NCM30100884,0.882,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
1872605741060,1872605741058,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:18,ZONA17_LAMONGAN_DT,,NCM30100884,1.368,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101)
